Training on stratified fold 1/5...

Epoch: 0001/0003 | Batch 0000/1082 | Loss: 0.7900
Epoch: 0001/0003 | Batch 0050/1082 | Loss: 0.0047
Epoch: 0001/0003 | Batch 0100/1082 | Loss: 0.0144
Epoch: 0001/0003 | Batch 0150/1082 | Loss: 0.0008
Epoch: 0001/0003 | Batch 0200/1082 | Loss: 0.0335
Epoch: 0001/0003 | Batch 0250/1082 | Loss: 0.0005
Epoch: 0001/0003 | Batch 0300/1082 | Loss: 0.0008
Epoch: 0001/0003 | Batch 0350/1082 | Loss: 0.0006
Epoch: 0001/0003 | Batch 0400/1082 | Loss: 0.0443
Epoch: 0001/0003 | Batch 0450/1082 | Loss: 0.0053
Epoch: 0001/0003 | Batch 0500/1082 | Loss: 0.0001
Epoch: 0001/0003 | Batch 0550/1082 | Loss: 0.0009
Epoch: 0001/0003 | Batch 0600/1082 | Loss: 0.0071
Epoch: 0001/0003 | Batch 0650/1082 | Loss: 0.0070
Epoch: 0001/0003 | Batch 0700/1082 | Loss: 0.0003
Epoch: 0001/0003 | Batch 0750/1082 | Loss: 0.0230
Epoch: 0001/0003 | Batch 0800/1082 | Loss: 0.0009
Epoch: 0001/0003 | Batch 0850/1082 | Loss: 0.0229
Epoch: 0001/0003 | Batch 0900/1082 | Loss: 0.0001
Epoch: 0001/0003 | Batch 0950/1082 | Loss: 0.0012
Epoch: 0001/0003 | Batch 1000/1082 | Loss: 0.0004
Epoch: 0001/0003 | Batch 1050/1082 | Loss: 0.0011
Epoch: 0001/0003 | Training Loss: 0.0162 | No validation step in this epoch.
Time elapsed: 10.18 min
Epoch: 0002/0003 | Batch 0000/1082 | Loss: 0.0038
Epoch: 0002/0003 | Batch 0050/1082 | Loss: 0.0001
Epoch: 0002/0003 | Batch 0100/1082 | Loss: 0.0005
Epoch: 0002/0003 | Batch 0150/1082 | Loss: 0.0002
Epoch: 0002/0003 | Batch 0200/1082 | Loss: 0.0010
Epoch: 0002/0003 | Batch 0250/1082 | Loss: 0.0003
Epoch: 0002/0003 | Batch 0300/1082 | Loss: 0.0005
Epoch: 0002/0003 | Batch 0350/1082 | Loss: 0.0024
